restaurant_id,number_of_items,cuisine_type,order_hour,day_of_week,restaurant_load,historical_avg_prep_time,food_preparation_time
1009,8,Indian,13,Thu,High,15,44.3
1079,8,Chinese,21,Sun,High,28,58.1
1015,1,Chinese,22,Sun,Low,22,26.1
1090,5,Fast Food,22,Thu,Medium,24,34.7
1042,1,South Indian,20,Mon,Medium,22,36.5
1077,6,Indian,16,Thu,Medium,10,32.3
1051,8,Fast Food,14,Mon,Medium,30,46.2
1063,1,Italian,19,Fri,Low,11,19.0
1096,3,South Indian,12,Sun,Medium,22,37.4
1052,4,Fast Food,9,Tue,Medium,11,14.6
1096,3,Indian,11,Wed,High,20,34.4
1004,6,Chinese,9,Sun,High,22,47.2
1094,1,Italian,10,Thu,Low,19,20.4
1023,7,Indian,17,Thu,Low,24,34.2
1015,6,South Indian,19,Fri,High,10,31.3
1043,5,South Indian,10,Thu,Medium,23,38.0
1029,3,Chinese,11,Mon,High,19,34.1
1036,3,Chinese,13,Mon,Low,27,32.7
1013,2,Italian,19,Tue,Medium,20,31.8
1032,1,Italian,10,Tue,Medium,16,28.3
1071,5,Chinese,17,Sun,High,24,44.8
1059,7,Chinese,21,Tue,Low,12,28.9
1086,3,South Indian,8,Mon,Low,11,15.4
1028,3,Chinese,8,Sat,Medium,17,30.0
1066,5,Fast Food,23,Sat,High,17,31.8
1042,6,Indian,16,Tue,High,20,45.8
1045,6,Chinese,16,Tue,High,25,43.4
1062,1,Italian,12,Mon,High,11,25.8
1057,8,Fast Food,16,Fri,Low,14,28.9
1006,2,Italian,18,Sun,Low,16,24.7
1028,3,Fast Food,14,Thu,Low,29,31.3
1028,8,Chinese,16,Sun,Medium,22,44.0
1044,8,Indian,19,Wed,High,11,39.7
1084,2,Italian,14,Sat,High,12,36.3
1030,8,Fast Food,16,Sat,Low,18,31.0
1062,8,South Indian,22,Mon,Medium,19,36.0
1075,6,Chinese,9,Sun,High,22,41.8
1092,6,Indian,18,Mon,Medium,30,41.2
1089,4,Chinese,18,Wed,Low,22,26.8
1062,7,South Indian,15,Sun,Medium,14,34.6
1097,1,Indian,14,Wed,Medium,16,32.3
1001,8,South Indian,23,Tue,Medium,26,42.5
1027,4,Chinese,13,Sun,Medium,24,40.4
1062,7,Fast Food,12,Wed,Low,14,22.2
1077,4,Chinese,11,Thu,High,16,34.3
1003,4,Chinese,14,Thu,Medium,11,29.5
1070,1,Chinese,10,Sat,Medium,27,36.4
1072,1,Italian,15,Thu,High,19,37.0
1027,5,South Indian,9,Sun,Low,10,24.8
1009,2,South Indian,8,Thu,Low,23,21.9
1062,2,South Indian,18,Thu,High,28,35.2
1037,5,Italian,9,Tue,Low,25,31.6
1097,5,Fast Food,16,Sat,High,28,47.5
1051,6,Chinese,12,Mon,Low,15,20.7
1044,7,Fast Food,18,Sat,Low,21,33.0
1024,4,Italian,15,Sat,Medium,12,26.7
1079,8,South Indian,10,Sat,Low,16,28.7
1059,5,Chinese,14,Wed,High,12,35.7
1032,3,Indian,22,Mon,Medium,26,36.9
1096,2,Indian,9,Wed,High,24,41.0
1088,5,Fast Food,15,Tue,High,28,36.1
1052,3,South Indian,21,Tue,Low,28,34.7
1062,3,Indian,14,Fri,High,20,38.8
1058,3,Fast Food,19,Fri,Medium,30,41.4
1052,6,Italian,12,Tue,Medium,29,44.1
1012,6,Fast Food,19,Tue,High,11,34.3
1039,8,Fast Food,18,Wed,Medium,16,28.2
1002,8,Fast Food,11,Tue,Medium,28,42.1
1003,3,Chinese,8,Sun,Medium,16,32.9
1056,7,Fast Food,12,Mon,Low,19,21.3
1081,6,Fast Food,19,Wed,Low,21,31.9
1059,4,Chinese,16,Tue,Medium,27,38.1
1002,3,Chinese,17,Wed,Low,15,18.0
1002,4,Italian,11,Wed,Low,29,36.7
1092,4,South Indian,20,Thu,Low,30,42.1
1054,3,Indian,16,Fri,Medium,17,26.2
1087,2,Indian,19,Wed,Medium,14,28.8
1096,7,Fast Food,9,Sat,High,12,28.5
1097,3,Italian,11,Sun,Medium,11,23.8
1001,8,Fast Food,16,Sun,Medium,15,34.2
1019,3,Indian,11,Wed,Medium,16,30.3
1002,6,Chinese,12,Sat,Medium,17,38.3
1053,3,South Indian,18,Sun,Medium,13,24.1
1044,2,Italian,15,Thu,High,21,33.6
1090,6,Chinese,23,Tue,High,21,43.0
1032,8,South Indian,8,Wed,High,26,51.9
1070,1,Italian,8,Thu,High,28,40.1
1032,1,Italian,16,Mon,Medium,18,29.3
1068,4,Indian,16,Thu,Medium,21,36.3
1055,7,Chinese,11,Fri,Medium,30,44.9
1075,4,Italian,20,Fri,Medium,26,41.9
1056,2,Italian,23,Tue,High,19,32.5
1017,5,South Indian,9,Sat,Medium,28,38.3
1038,8,Indian,23,Tue,High,20,43.7
1024,7,Fast Food,20,Sun,Medium,29,52.0
1069,8,Indian,16,Sat,High,22,54.4
1098,1,Fast Food,21,Sat,Medium,13,22.7
1070,4,Chinese,11,Sat,Medium,24,39.6
1086,8,Chinese,13,Sat,Medium,21,46.5
1011,1,Italian,19,Fri,High,19,33.9
1016,2,Chinese,8,Sun,High,16,33.3
1097,2,Italian,19,Fri,Low,11,19.3
1073,5,Indian,16,Wed,Medium,30,50.1
1059,8,Chinese,12,Sun,Medium,16,38.6
1070,5,Indian,22,Fri,High,17,38.3
1080,6,Indian,10,Tue,Medium,30,43.6
1093,7,Chinese,11,Fri,Low,28,33.6
1003,8,Indian,8,Sun,Medium,15,39.7
1020,2,Chinese,21,Sun,Medium,30,44.1
1059,4,Chinese,16,Tue,Low,17,27.2
1036,1,Chinese,21,Mon,Medium,29,37.1
1019,3,Fast Food,15,Sun,High,13,23.8
1090,5,Indian,11,Fri,High,29,52.4
1067,3,South Indian,9,Tue,Low,18,23.7
1019,8,Chinese,21,Sat,High,14,42.4
1020,4,Indian,16,Sun,Medium,15,31.3
1096,5,Italian,11,Thu,Low,28,43.7
1071,3,Chinese,16,Sat,Low,21,29.8
1052,7,Chinese,17,Wed,Low,14,26.2
1033,4,South Indian,10,Sun,High,14,34.9
1040,1,Fast Food,14,Tue,Low,27,29.9
1039,7,Fast Food,14,Sat,Low,15,34.9
1082,4,Chinese,17,Fri,High,18,36.5
1001,6,Indian,20,Fri,Medium,20,44.5
1011,5,Italian,11,Sun,High,23,49.5
1092,2,Italian,9,Mon,Medium,11,18.7
1057,1,Indian,18,Thu,Low,23,25.0
1089,8,Chinese,16,Sun,High,28,50.4
1050,7,Italian,11,Tue,Low,19,32.0
1023,7,Fast Food,15,Sat,Medium,14,24.7
1031,3,Indian,21,Thu,Medium,13,30.5
1094,5,South Indian,9,Mon,Low,16,22.2
1042,8,Chinese,15,Sun,High,22,51.3
1099,2,Indian,23,Wed,Medium,19,30.9
1007,4,Italian,18,Thu,Low,19,26.0
1016,2,Chinese,23,Mon,High,13,28.5
1090,5,Fast Food,17,Sun,Medium,25,36.4
1060,5,Chinese,12,Sun,Medium,24,34.7
1002,6,Chinese,14,Tue,Medium,30,46.8
1001,6,Fast Food,14,Sun,High,20,40.6
1048,2,Fast Food,19,Wed,Low,28,31.6
1012,4,Chinese,16,Sun,Low,30,38.9
1069,2,Fast Food,10,Fri,Medium,12,13.0
1037,5,Indian,17,Mon,Low,24,36.7
1032,5,Fast Food,11,Fri,Medium,25,35.4
1009,3,Fast Food,17,Sun,Medium,23,28.5
1099,6,Chinese,11,Wed,Low,14,22.3
1019,8,Indian,22,Mon,Low,26,46.2
1048,8,South Indian,23,Mon,Medium,27,52.6
1080,8,South Indian,20,Sun,High,28,55.6
1003,3,Italian,17,Wed,Medium,10,23.1
1020,1,Fast Food,12,Tue,Medium,18,18.4
1024,8,Fast Food,21,Mon,Low,30,46.4
1054,5,Indian,13,Wed,Medium,23,40.1
1033,3,South Indian,23,Thu,Low,29,29.6
1024,2,Italian,22,Fri,Medium,30,35.2
1075,6,Indian,10,Mon,Medium,29,44.1
1072,6,Fast Food,20,Thu,High,30,49.1
1036,4,South Indian,11,Mon,Medium,20,33.0
1038,2,Italian,10,Tue,High,11,22.1
1084,4,Chinese,9,Sun,Medium,29,41.3
1099,3,South Indian,17,Wed,High,14,33.6
1089,7,Italian,19,Mon,Medium,24,46.8
1099,8,Indian,16,Wed,Medium,21,42.3
1025,1,Chinese,23,Sat,High,23,39.0
1093,2,Italian,8,Mon,Low,20,23.0
1018,2,Italian,23,Tue,Low,30,34.5
1082,2,Fast Food,9,Tue,Low,18,15.6
1066,4,South Indian,15,Sun,High,29,47.0
1054,3,Fast Food,22,Sun,Low,17,22.9
1035,2,Chinese,14,Thu,High,21,40.6
1080,7,Italian,19,Tue,Medium,12,27.8
1061,2,Fast Food,8,Wed,Low,30,31.6
1041,6,South Indian,12,Sat,Medium,24,39.8
1100,8,Chinese,17,Tue,Low,17,32.6
1033,1,Indian,13,Mon,Medium,16,27.6
1068,8,Fast Food,12,Tue,Medium,26,39.2
1033,6,Chinese,11,Sat,Medium,21,42.7
1014,6,Indian,21,Wed,Low,29,47.8
1021,1,Fast Food,20,Mon,Medium,27,36.6
1048,7,Chinese,8,Thu,High,27,48.4
1020,3,Chinese,23,Thu,Medium,24,32.9
1008,6,Fast Food,14,Thu,High,12,31.8
1007,3,Chinese,16,Sun,Low,28,32.6
1067,6,Italian,13,Mon,High,24,41.7
1017,5,Fast Food,23,Thu,Medium,25,30.7
1033,1,Chinese,23,Sun,Low,26,33.9
1048,6,Indian,23,Tue,High,10,36.1
1076,5,Indian,10,Mon,High,20,34.0
1059,8,Italian,22,Mon,Medium,15,38.3
1086,4,Fast Food,17,Mon,Low,18,18.4
1022,5,Chinese,21,Fri,Low,29,38.7
1030,2,Chinese,11,Sun,Medium,25,38.8
1038,6,Indian,17,Wed,High,15,35.3
1051,5,Italian,12,Fri,Low,21,38.8
1054,3,Indian,22,Fri,High,28,42.4
1008,4,Indian,19,Fri,Low,22,35.4
1027,7,Italian,19,Wed,High,22,46.7
1027,6,Fast Food,8,Fri,High,13,28.2
1098,2,Chinese,12,Thu,Medium,18,28.0
1021,7,Fast Food,8,Mon,Medium,23,29.4
1030,5,South Indian,16,Mon,High,23,42.0
1097,7,South Indian,23,Sun,Medium,26,43.4
1028,7,South Indian,14,Tue,Medium,14,32.0
1064,4,Italian,10,Sat,Medium,28,39.0
1097,8,Indian,16,Thu,Low,11,30.3
1069,7,Fast Food,9,Wed,High,22,39.5
1061,7,Chinese,19,Sat,Low,20,38.9
1048,6,South Indian,14,Mon,High,11,37.1
1019,8,Fast Food,16,Fri,Low,10,21.0
1004,4,South Indian,13,Sun,Medium,30,50.8
1035,2,South Indian,17,Sun,Low,12,22.5
1064,5,Chinese,12,Tue,Medium,21,34.7
1049,4,Italian,19,Tue,Medium,16,39.0
1017,4,Indian,14,Mon,Medium,10,32.5
1044,1,Italian,21,Thu,Medium,18,32.2
1092,4,Fast Food,22,Sun,High,27,36.1
1030,8,Italian,22,Sat,Medium,29,51.7
1093,1,Fast Food,13,Tue,Medium,15,21.5
1046,5,Fast Food,12,Mon,High,18,31.6
1006,7,Indian,21,Thu,Low,17,36.3
1099,6,Chinese,9,Mon,Medium,27,43.7
1037,6,Indian,15,Mon,Medium,24,43.1
1024,5,Italian,22,Thu,Medium,10,19.0
1093,5,Fast Food,20,Thu,Medium,23,40.1
1046,8,South Indian,14,Thu,Medium,27,45.0
1053,3,South Indian,13,Mon,Low,28,36.2
1095,7,Fast Food,12,Tue,Medium,28,36.9
1099,5,Indian,12,Wed,High,19,36.8
1060,4,Chinese,16,Wed,Medium,29,43.5
1097,8,Indian,8,Mon,Medium,30,50.8
1063,6,Fast Food,23,Mon,Low,15,22.8
1085,2,Fast Food,16,Tue,High,26,35.5
1032,8,Chinese,13,Thu,Low,23,36.7
1087,6,Italian,11,Mon,Medium,22,36.1
1033,1,Italian,17,Sun,High,17,34.0
1067,8,Chinese,21,Fri,Medium,19,44.4
1018,6,Italian,14,Thu,Medium,18,33.5
1025,3,South Indian,16,Sun,Medium,14,28.5
1095,8,Italian,12,Mon,Low,13,30.2
1054,8,Italian,21,Fri,High,15,41.5
1058,7,Italian,12,Sun,Low,15,32.8
1067,5,South Indian,15,Sat,Medium,22,36.3
1046,7,Italian,14,Tue,Low,13,33.1
1024,8,South Indian,20,Fri,High,17,39.0
1032,5,Chinese,20,Mon,Low,14,26.9
1047,6,Indian,15,Wed,Medium,11,31.3
1086,2,Chinese,18,Sun,Medium,18,30.2
1023,2,Indian,19,Mon,Medium,20,37.0
1066,8,Chinese,17,Wed,Medium,29,46.7
1027,3,Indian,9,Tue,Medium,29,42.1
1002,1,Indian,16,Tue,Medium,20,27.3
1090,6,Fast Food,10,Thu,Medium,16,23.0
1017,5,Indian,13,Sun,Medium,23,45.2
1033,8,Indian,23,Thu,Medium,15,39.8
1009,6,Fast Food,13,Wed,Low,13,27.2
1043,8,Italian,9,Wed,High,15,36.4
1048,3,Italian,19,Tue,Medium,12,26.1
1039,4,Fast Food,20,Fri,Low,15,19.4
1093,4,South Indian,14,Wed,Medium,12,27.7
1042,3,Indian,16,Wed,High,10,29.4
1026,5,Indian,19,Sun,Low,30,55.1
1099,7,Fast Food,17,Fri,Medium,27,34.3
1050,3,Fast Food,18,Thu,Medium,13,20.0
1025,8,South Indian,8,Thu,Low,15,28.4
1024,5,Italian,15,Wed,High,26,43.9
1013,2,Chinese,9,Sun,Medium,27,34.8
1060,3,Italian,21,Thu,Low,15,31.7
1007,5,Indian,8,Thu,High,11,26.1
1057,3,Fast Food,15,Sat,Medium,21,26.9
1036,3,South Indian,9,Sun,High,21,38.5
1045,7,Italian,13,Thu,Medium,13,37.0
1020,7,South Indian,22,Tue,Medium,25,44.3
1065,8,Italian,13,Mon,High,29,55.8
1008,5,Indian,12,Wed,Low,19,31.9
1016,5,Chinese,23,Wed,High,19,36.8
1014,1,South Indian,15,Tue,Medium,16,20.9
1076,3,South Indian,10,Mon,Low,23,26.0
1087,4,Chinese,23,Mon,Medium,16,27.7
1015,3,South Indian,20,Tue,Low,21,30.0
1092,3,South Indian,17,Fri,Medium,20,27.3
1098,5,Italian,22,Fri,Medium,26,38.4
1066,3,Italian,11,Mon,High,20,36.5
1032,6,Chinese,14,Fri,Low,30,41.8
1087,3,Indian,22,Fri,Medium,12,22.8
1063,6,South Indian,23,Fri,Low,28,35.5
1086,7,Indian,14,Mon,Medium,13,36.2
1051,4,Chinese,23,Fri,Medium,17,27.9
1025,8,Chinese,20,Wed,Medium,23,49.0
1058,5,Italian,19,Sat,High,29,58.0
1063,3,South Indian,21,Mon,High,23,42.3
1062,6,Fast Food,15,Tue,Low,25,31.3
1022,6,Chinese,9,Fri,Medium,24,38.2
1058,7,South Indian,18,Thu,Medium,21,36.0
1058,6,Indian,19,Mon,Medium,25,41.6
1086,8,Italian,9,Sun,Low,29,49.6
1049,2,Indian,23,Tue,Medium,28,38.4
1052,1,Chinese,11,Sat,Medium,14,26.4
1042,8,Chinese,23,Wed,Medium,21,37.7
1070,4,Indian,20,Sun,High,14,44.0
1015,8,Chinese,17,Tue,Medium,19,36.8
1054,7,South Indian,20,Fri,Low,26,40.9
1060,7,Chinese,16,Thu,Low,24,41.2
1097,8,Italian,17,Fri,High,17,42.5
1008,3,South Indian,19,Tue,High,17,40.4
1053,2,Fast Food,16,Mon,Medium,17,20.1
1060,3,Chinese,20,Sun,Medium,19,38.8
1005,3,Chinese,20,Thu,High,29,51.5
1068,8,Italian,11,Sun,Medium,22,43.6
1006,5,Italian,16,Sun,High,25,48.0
1096,5,Indian,22,Thu,High,18,38.5
1094,5,Indian,21,Tue,Medium,25,47.5
1047,2,Indian,10,Sat,Medium,19,28.4
1099,3,Italian,19,Sat,Low,12,28.2
1055,1,Indian,12,Fri,Low,23,29.6
1040,4,Indian,17,Tue,High,22,38.2
1052,5,Fast Food,16,Thu,High,13,23.4
1016,5,Indian,23,Tue,Medium,13,23.0
1013,7,Chinese,13,Thu,Medium,15,42.8
1030,3,Italian,10,Sun,Low,28,35.2
1019,3,South Indian,17,Fri,Low,20,28.7
1017,2,Fast Food,16,Mon,Medium,17,19.0
1063,2,Italian,13,Sun,Medium,23,42.9
1019,5,Italian,11,Mon,Medium,17,32.7
1092,3,Chinese,23,Tue,Low,23,34.7
1058,1,Indian,21,Thu,High,16,38.1
1055,4,Chinese,11,Mon,Medium,30,41.8
1090,8,Indian,23,Sun,High,27,56.3
1090,3,Indian,15,Thu,Medium,21,34.4
1062,7,Italian,14,Fri,Low,23,49.6
1023,8,Indian,8,Sun,High,24,52.6
1009,3,Fast Food,23,Tue,Medium,27,27.5
1012,6,Fast Food,13,Thu,Medium,21,36.5
1001,2,Fast Food,15,Tue,Medium,19,19.7
1058,7,Italian,10,Thu,Low,21,35.2
1001,4,Chinese,21,Sun,Medium,17,39.7
1034,5,South Indian,16,Sat,High,15,36.5
1096,7,Indian,17,Sat,Low,28,43.8
1048,3,South Indian,9,Thu,Low,10,13.8
1089,5,Chinese,21,Fri,High,22,41.8
1001,3,Chinese,13,Tue,Low,25,39.2
1016,5,Italian,19,Wed,Medium,27,48.5
1061,4,Fast Food,8,Thu,Medium,21,23.9
1064,2,Fast Food,19,Thu,Medium,14,29.2
1063,4,Chinese,18,Sat,Medium,30,43.5
1069,6,Italian,22,Mon,Low,22,34.7
1022,1,Italian,9,Sun,Low,17,21.8
1093,2,Indian,23,Sat,Medium,15,28.9
1067,4,Fast Food,23,Tue,Medium,12,18.5
1076,6,Chinese,20,Sat,Medium,29,47.6
1026,1,South Indian,12,Wed,Medium,13,21.3
1016,6,Fast Food,8,Fri,Low,21,24.3
1051,3,Indian,15,Sun,Low,22,35.2
1086,8,Italian,8,Wed,High,11,34.7
1057,3,Chinese,20,Fri,Medium,28,42.6
1029,5,Fast Food,16,Wed,Medium,13,22.4
1078,2,South Indian,17,Sun,Low,22,28.0
1092,3,Indian,18,Sat,Low,28,40.6
1069,7,Indian,10,Wed,Medium,17,33.5
1047,6,Fast Food,23,Sat,High,17,37.9
1094,2,South Indian,19,Sun,High,25,41.5
1062,8,Indian,9,Sat,High,20,45.7
1069,7,Chinese,22,Tue,High,27,50.3
1076,3,Indian,8,Sat,High,13,35.5
1016,5,South Indian,16,Mon,Medium,10,22.9
1090,4,Italian,23,Wed,Low,10,22.7
1090,5,Italian,22,Sun,High,23,42.5
1048,7,Fast Food,11,Thu,Low,13,17.1
1085,1,South Indian,19,Thu,Low,20,28.3
1039,3,Indian,8,Thu,Low,27,34.8
1100,7,Indian,8,Sun,Medium,25,49.0
1033,1,Italian,14,Mon,Medium,26,34.7
1094,1,Italian,23,Sat,Low,11,15.5
1023,6,Chinese,9,Wed,Medium,13,33.0
1010,2,Italian,14,Fri,High,12,30.0
1069,6,Chinese,19,Fri,Medium,24,48.1
1100,3,Indian,22,Sun,High,11,32.7
1034,1,Chinese,14,Tue,Low,28,33.9
1052,8,Chinese,22,Mon,Low,18,36.6
1095,7,Fast Food,17,Wed,Medium,19,31.6
1010,4,Italian,21,Sat,Medium,30,50.2
1019,1,Chinese,16,Thu,Medium,28,33.6
1058,7,Indian,20,Mon,High,14,43.9
1096,8,South Indian,23,Mon,High,23,42.0
1001,4,Chinese,14,Wed,High,19,42.9
1069,6,Italian,23,Sun,Medium,25,45.1
1004,6,Fast Food,20,Sat,Low,15,27.1
1016,2,Indian,21,Sun,Medium,17,30.8
1024,7,Fast Food,8,Sun,Low,11,20.8
1080,1,South Indian,19,Tue,Low,27,33.6
1002,5,Chinese,20,Sun,Low,30,47.5
1092,6,Chinese,23,Sat,Medium,30,48.2
1032,6,Italian,15,Tue,Low,30,43.8
1091,2,Chinese,15,Tue,Low,29,29.1
1084,4,Indian,11,Thu,Medium,17,30.0
1024,2,South Indian,20,Thu,Medium,14,26.5
1012,8,Fast Food,15,Wed,Medium,26,40.8
1050,1,South Indian,11,Sat,Medium,25,35.5
1035,7,Chinese,22,Sun,Low,14,29.0
1033,3,Fast Food,15,Tue,Low,26,26.6
1033,3,Italian,12,Wed,Low,13,17.2
1061,7,South Indian,11,Tue,High,10,31.8
1051,4,Fast Food,13,Mon,Medium,15,23.6
1043,8,Fast Food,9,Fri,Low,10,21.1
